Taxa,Number.of.Unique.Species,Abbreviation_Spec,Specific_Device_Pairing,Manuscript,Intermediate_Devices
Reptilia,1,AC + AB,Acoustic + Animal-borne,Martanez_Estevez_2022,AC + AB
Teleostei,1,AC + A,Acoustic + Autonomous Video,Priede_1986,AC + M
Chondrichthyes,3,AC + BRUV,Acoustic + BRUV,"Chiriboga_Paredes_2022, Winter_2019",AC + B
Teleostei,10,AC + BRUV,Acoustic + BRUV,"Fetterplace_2016, Meekan_2021",AC + B
Chondrichthyes,3,AC + DD + AB,Acoustic + Data Logger + Animal-borne,"Heithaus_2001, Papastamation_2018",AC + DD + M
Decapoda,1,AC + DD + SV,Acoustic + Data Logger + Stationary Video,Jury_2018,AC + DD + S
Teleostei,2,AC + DD + SV,Acoustic + Data Logger + Stationary Video,"Luo_2009, Tanoue_2012",AC + DD + S
Cephalopoda,3,AC + DD + SV,Acoustic + Data Logger + Stationary Video,O_Dor_2002,AC + DD + S
Teleostei,1,AC + DOV + ROV,Acoustic + DOV + ROV,Zhang_2015,AC + M
Teleostei,1,AC + DOV + ROV + TO,Acoustic + DOV + ROV + Towed Camera,Garner_2022,AC + M
Teleostei,3,AC + DOV + SV,Acoustic + DOV + Stationary Video,Ferguson_2016,AC + M + S
Chondrichthyes,1,AC + DR,Acoustic + Drone,Anderson_2022,AC + M
Teleostei,4,AC + PIT + SV,Acoustic + PIT + Stationary Camera,"Carpenter_2020, McCartin_2019",AC + PIT + S
Teleostei,2,AC + ROV,Acoustic + ROV,Bohaboy_2020,AC + M
Teleostei,1,AC + SB,Acoustic + Stationary Baited Video,Alos_2016,AC + B
Chondrichthyes,3,AC + SA + BRUV,Acoustic + Satellite + BRUV,"Acuna_Marrero_2017, Barnett_2022",AC + S + B
Teleostei,3,AC + SC,Acoustic + Stationary Camera,"Cimino_2018, Leclercq_2018",AC + S
Teleostei,21,AC + SV,Acoustic + Stationary Video,"Bacheler_2018, Baker_2019, Crook_2023, Danylchuk_2011, Gomi_2021, Kawabata_2009, Lee_2013, Richard_2020, Runde_2022, Sarno_1994, Yokota_2011, Yokota_2007",AC + S
Bivalvia,2,AC + SV,Acoustic + Stationary Video,Richard_2020,AC + S
Decapoda,1,AC + SV,Acoustic + Stationary Video,Holsman_2006,AC + S
Chondrichthyes,1,AC + DOV,Acoustic + DOV,Lara_Lizardi_2018,AC + M
Chondrostei,1,AC + TO,Acoustic + Towed Video,Andrews_2020,AC + M
Chondrichthyes,4,DD + AB,Data Logger + Animal-borne,"Andrzejaczek_2019, Grainger_2022, Jewell_2019,  Semmens_2019, White_2022",DD + AB
Chondrichthyes,1,DD + AB + PO,Data Logger + Animal-borne + Handheld Camera,Johnston_2018,DD + AB + M
Cetacea,4,DD + AB,Data Logger + Animal-borne,"Akiyama_2019, Iwata_2021, Linsky_2020, Matika_2022, Ratsimbazafindranahaka_2022, Tackaberry_2020, White_2022",DD + AB
Phocidae,4,DD + AB,Data Logger + Animal-borne,"Davis_2011, Hooker_2015, Volpov_2015, 	
Watanabe_2020",DD + AB
Reptilia,2,DD + AB,Data Logger + Animal-borne,"Jeatnet_2020, Narazaki_2009,  Okuyama_2015, Thomson_2014",DD + AB
Teleostei,1,DD + AB,Data Logger + Animal-borne,Nakamura_2015,DD + AB
Cephalopoda,1,DD + AB,Data Logger + Animal-borne,Gilly_2012,DD + AB
Reptilia,1,DD + PIT + DOV,Data Logger + PIT + DOV,Francke_2013,DD + PIT + M
Reptilia,1,DD + PIT + AB,Data Logger + PIT + Animal-borne,Gunner_2021,DD + PIT + AB
Reptilia,2,DD + SA + AB,Data Logger + Satellite + Animal-borne,"Asada_2022, Okuyama_2013",DD + SA + AB
Phocidae,2,DD + SA + AB,Data Logger + Satellite + Animal-borne,"Wilson_2017, Yoshino_2020",DD + SA + AB
Teleostei,3,DD + SV,Data Logger + Stationary Video,"Beltramino_2018, Van_deurs_2017",DD + S
Gastropoda,1,DD + SV,Data Logger + Stationary Video,Dujon_2019,DD + S
Cetacea,1,DD + TO,Data Logger + Towed Video,Miller_2004,DD + M
Teleostei,1,AC + PIT + R + SV,Acoustic + PIT + Radio + Stationary Video,Bett_2022,AC + PIT + R + S
Teleostei,2,PIT + SC,PIT + Stationary Camera,Boulatreau_2018,PIT + S
Teleostei,2,R + SV,Radio + Stationary Video,"Arnekleiv_2007, O_brien_2014",R + S
Teleostei,1,PIT + R + SV,PIT + Radio + Stationary,Fuchs_2019,PIT + R + S
Chondrichthyes,6,SA + AB,Satellite + Animal-borne,"Fontes_2022, Rudd_2021",SA + AB
Phocidae,1,SA + ROV,Satellite + ROV,Gebruk_2020,SA + M
Cetacea,1,SA + SV,Satellite + Stationary Video,Esken_2009,SA + S
Phocidae,1,SA + SV,Satellite + Stationary Video,Sjoberg_1999,SA + S
